id,label
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,1
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,0
126,0
127,1
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,0
140,0
141,0
142,0
143,1
144,1
145,0
146,0
147,0
148,1
149,1
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,0
179,1
180,1
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,0
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,0
279,1
280,0
